단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,도보 10분거리 내 지하철역 수(환승노선 수 반영),도보 10분거리 내 버스정류장 수,단지내주차면수,등록차량수
C2483,900,아파트,경상북도,국민임대,39.72,134,38.0,A,15667000,103680,0.0,3.0,1425.0,1015.0
C2483,900,아파트,경상북도,국민임대,39.72,15,38.0,A,15667000,103680,0.0,3.0,1425.0,1015.0
C2483,900,아파트,경상북도,국민임대,51.93,385,38.0,A,27304000,184330,0.0,3.0,1425.0,1015.0
C2483,900,아파트,경상북도,국민임대,51.93,15,38.0,A,27304000,184330,0.0,3.0,1425.0,1015.0
C2483,900,아파트,경상북도,국민임대,51.93,41,38.0,A,27304000,184330,0.0,3.0,1425.0,1015.0
C2483,900,아파트,경상북도,국민임대,51.95,89,38.0,A,27304000,184330,0.0,3.0,1425.0,1015.0
C2483,900,아파트,경상북도,국민임대,51.95,135,38.0,A,27304000,184330,0.0,3.0,1425.0,1015.0
C2483,900,아파트,경상북도,국민임대,59.88,86,38.0,A,30357000,214270,0.0,3.0,1425.0,1015.0
C2515,545,아파트,경상남도,국민임대,33.48,276,17.0,A,9216000,82940,0.0,3.0,624.0,205.0
C2515,545,아파트,경상남도,국민임대,39.6,60,17.0,A,12672000,107130,0.0,3.0,624.0,205.0
C2515,545,아파트,경상남도,국민임대,39.6,20,17.0,A,12672000,107130,0.0,3.0,624.0,205.0
C2515,545,아파트,경상남도,국민임대,46.9,38,17.0,A,18433000,149760,0.0,3.0,624.0,205.0
C2515,545,아파트,경상남도,국민임대,46.9,19,17.0,A,18433000,149760,0.0,3.0,624.0,205.0
C2515,545,아파트,경상남도,국민임대,51.97,106,17.0,A,23042000,190090,0.0,3.0,624.0,205.0
C2515,545,아파트,경상남도,국민임대,51.97,26,17.0,A,23042000,190090,0.0,3.0,624.0,205.0
C1407,1216,아파트,대전광역시,국민임대,30.95,288,13.0,A,15620000,127350,1.0,1.0,1285.0,1064.0
C1407,1216,아파트,대전광역시,국민임대,30.99,68,13.0,A,15620000,127350,1.0,1.0,1285.0,1064.0
C1407,1216,아파트,대전광역시,국민임대,30.99,34,13.0,A,15620000,127350,1.0,1.0,1285.0,1064.0
C1407,1216,아파트,대전광역시,국민임대,41.11,148,13.0,A,27637000,164610,1.0,1.0,1285.0,1064.0
C1407,1216,아파트,대전광역시,국민임대,41.39,74,13.0,A,27637000,164610,1.0,1.0,1285.0,1064.0
C1407,1216,아파트,대전광역시,국민임대,41.58,70,13.0,A,27637000,164610,1.0,1.0,1285.0,1064.0
C1407,1216,아파트,대전광역시,국민임대,41.58,70,13.0,A,27637000,164610,1.0,1.0,1285.0,1064.0
C1407,1216,아파트,대전광역시,국민임대,46.36,170,13.0,A,36048000,198250,1.0,1.0,1285.0,1064.0
C1407,1216,아파트,대전광역시,국민임대,46.36,170,13.0,A,36048000,198250,1.0,1.0,1285.0,1064.0
C1407,1216,아파트,대전광역시,국민임대,51.24,62,13.0,A,42056000,253520,1.0,1.0,1285.0,1064.0
C1407,1216,아파트,대전광역시,국민임대,51.24,62,13.0,A,42056000,253520,1.0,1.0,1285.0,1064.0
C1945,755,아파트,경기도,국민임대,39.72,120,6.0,B,15607000,130070,1.0,3.0,734.0,730.0
C1945,755,아파트,경기도,국민임대,39.72,120,6.0,B,15607000,130070,1.0,3.0,734.0,730.0
C1945,755,아파트,경기도,국민임대,51.93,207,6.0,B,23139000,193230,1.0,3.0,734.0,730.0
C1945,755,아파트,경기도,국민임대,51.93,96,6.0,B,23139000,193230,1.0,3.0,734.0,730.0
C1945,755,아파트,경기도,국민임대,59.88,160,6.0,B,29209000,244020,1.0,3.0,734.0,730.0
C1945,755,아파트,경기도,국민임대,59.88,52,6.0,B,29209000,244020,1.0,3.0,734.0,730.0
C1470,696,아파트,전라북도,국민임대,36.55,228,14.0,A,12015000,102130,0.0,2.0,645.0,553.0
C1470,696,아파트,전라북도,국민임대,36.55,26,14.0,A,12015000,102130,0.0,2.0,645.0,553.0
C1470,696,아파트,전라북도,국민임대,46.9,196,14.0,A,21628000,132160,0.0,2.0,645.0,553.0
C1470,696,아파트,전라북도,국민임대,51.93,246,14.0,A,25233000,144180,0.0,2.0,645.0,553.0
