district_id,state,locale,pct_black/hispanic,pct_free/reduced,county_connections_ratio,pp_total_raw
8815,Illinois,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[14000, 16000["
2685,NaN,NaN,NaN,NaN,NaN,NaN
4921,Utah,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[6000, 8000["
3188,NaN,NaN,NaN,NaN,NaN,NaN
2238,NaN,NaN,NaN,NaN,NaN,NaN
5987,Wisconsin,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[10000, 12000["
3710,Utah,Suburb,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[6000, 8000["
7177,North Carolina,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
9812,Utah,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[6000, 8000["
6584,North Carolina,Rural,"[0.4, 0.6[","[0.6, 0.8[","[0.18, 1[","[8000, 10000["
1044,Missouri,Suburb,"[0, 0.2[","[0, 0.2[",,"[10000, 12000["
7457,Washington,City,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[","[12000, 14000["
1904,Connecticut,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
5527,Massachusetts,Suburb,"[0, 0.2[",,,"[16000, 18000["
2257,New York,Rural,"[0, 0.2[","[0.2, 0.4[",,"[20000, 22000["
7614,Utah,City,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
4808,Indiana,City,"[0.8, 1[","[0.8, 1[","[0.18, 1[","[8000, 10000["
8515,NaN,NaN,NaN,NaN,NaN,NaN
1877,Illinois,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[12000, 14000["
2339,NaN,NaN,NaN,NaN,NaN,NaN
2779,Illinois,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[10000, 12000["
8328,Utah,Town,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[10000, 12000["
8539,Connecticut,Suburb,"[0.2, 0.4[","[0.4, 0.6[","[0.18, 1[",
9120,NaN,NaN,NaN,NaN,NaN,NaN
9043,Illinois,Suburb,"[0.8, 1[","[0.8, 1[","[0.18, 1[","[12000, 14000["
4666,NaN,NaN,NaN,NaN,NaN,NaN
1549,Virginia,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[10000, 12000["
4051,Missouri,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[10000, 12000["
7305,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[14000, 16000["
1131,NaN,NaN,NaN,NaN,NaN,NaN
4591,NaN,NaN,NaN,NaN,NaN,NaN
3393,NaN,NaN,NaN,NaN,NaN,NaN
3580,NaN,NaN,NaN,NaN,NaN,NaN
2167,Washington,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[14000, 16000["
6577,Illinois,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[10000, 12000["
4602,Connecticut,Suburb,"[0.6, 0.8[","[0.2, 0.4[","[0.18, 1[",
4936,Utah,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[6000, 8000["
4520,Connecticut,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
7785,Connecticut,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
3668,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[16000, 18000["
7970,Ohio,Suburb,"[0, 0.2[","[0, 0.2[",,
5231,Utah,Town,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[10000, 12000["
9589,Connecticut,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[",
8685,NaN,NaN,NaN,NaN,NaN,NaN
8433,New Jersey,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[18000, 20000["
