"time","lp_id","pct_access","engagement_index"
"2020-01-01",94954,0,
"2020-01-01",65131,0,
"2020-01-01",95731,0,
"2020-01-01",84007,0,
"2020-01-01",99916,0,
"2020-01-01",77774,0,
"2020-01-01",28504,0,
"2020-01-02",95731,0,
"2020-01-02",47364,0,
"2020-01-02",72758,0,
"2020-01-02",13496,0,
"2020-01-02",69863,0,
"2020-01-02",26488,0,
"2020-01-02",28504,0,
"2020-01-02",90153,0,
"2020-01-03",49535,0,
"2020-01-03",44271,0,
"2020-01-03",28504,0,
"2020-01-03",99916,0,
"2020-01-03",65277,0,
"2020-01-03",41587,0,
"2020-01-03",95731,0,
"2020-01-03",90153,0,
"2020-01-04",99916,0,
"2020-01-04",94954,0,
"2020-01-04",33185,0,
"2020-01-04",72758,0,
"2020-01-04",90153,0,
"2020-01-04",65131,0,
"2020-01-05",72758,0,
"2020-01-05",49535,0,
"2020-01-05",99916,0,
"2020-01-05",90153,0,
"2020-01-05",52615,0,
"2020-01-05",95731,0,
"2020-01-05",64948,0.85,16.95
"2020-01-06",44734,3.39,42.37
"2020-01-06",33185,0.85,50.85
"2020-01-06",81654,0.85,16.95
"2020-01-06",23927,0,
"2020-01-06",86703,0,
"2020-01-06",25559,45.76,4949.15
"2020-01-06",26488,4.24,161.02
"2020-01-06",30851,0.85,8.47
"2020-01-06",99916,0.85,16.95
"2020-01-06",29790,10.17,771.19
"2020-01-06",92924,0,
"2020-01-06",13496,0,
"2020-01-06",33562,7.63,296.61
"2020-01-06",94954,9.32,161.02
"2020-01-06",95731,5.93,542.37
"2020-01-06",90153,0.85,245.76
"2020-01-06",20619,0,
"2020-01-06",33686,0.85,84.75
"2020-01-06",76649,36.44,2127.12
"2020-01-06",88925,0.85,8.47
"2020-01-06",98265,1.69,16.95
"2020-01-06",39299,1.69,59.32
"2020-01-06",36692,4.24,144.07
"2020-01-06",14769,2.54,50.85
"2020-01-06",30668,0,
"2020-01-06",76122,3.39,42.37
"2020-01-06",65277,0,
"2020-01-06",24829,19.49,1516.95
"2020-01-06",86059,0.85,8.47
"2020-01-06",72758,0.85,338.98
"2020-01-06",61384,24.58,3525.42
"2020-01-06",17920,1.69,84.75
"2020-01-06",83862,0.85,8.47
"2020-01-06",28504,0.85,355.93
"2020-01-06",54430,0.85,8.47
"2020-01-06",12816,0,
