"time","lp_id","pct_access","engagement_index"
"2020-01-01",28504,0,
"2020-01-01",19871,0,
"2020-01-01",95731,0,
"2020-01-01",37153,0.61,170.73
"2020-01-02",82296,0,
"2020-01-02",72758,0,
"2020-01-02",99916,0,
"2020-01-02",95731,0,
"2020-01-02",28504,0,
"2020-01-03",51288,0,
"2020-01-03",28504,0,
"2020-01-03",48165,0,
"2020-01-03",99916,0,
"2020-01-03",83270,0.61,6.1
"2020-01-03",81236,0,
"2020-01-03",26488,0,
"2020-01-03",45811,0,
"2020-01-03",30851,0.61,6.1
"2020-01-03",37153,0.61,128.05
"2020-01-03",16164,0,
"2020-01-03",32213,0.61,36.59
"2020-01-03",92140,0.61,12.2
"2020-01-03",95731,0,
"2020-01-03",57084,1.22,30.49
"2020-01-03",64948,0.61,36.59
"2020-01-03",13591,0,
"2020-01-03",38871,0,
"2020-01-03",77774,0,
"2020-01-03",16353,0,
"2020-01-03",65277,0,
"2020-01-03",82296,0,
"2020-01-03",72758,0,
"2020-01-03",65131,0,
"2020-01-03",24120,0,
"2020-01-03",60825,0,
"2020-01-03",33185,0,
"2020-01-04",95731,0,
"2020-01-04",99916,0,
"2020-01-04",13591,0,
"2020-01-04",13496,0,
"2020-01-04",28504,0,
"2020-01-04",64948,0,
"2020-01-05",28504,0,
"2020-01-05",99916,0,
"2020-01-05",95731,0,
"2020-01-06",71805,0.61,30.49
"2020-01-06",25559,0.61,6.1
"2020-01-06",72758,0,
"2020-01-06",37153,19.51,1109.76
"2020-01-06",26488,0.61,6.1
"2020-01-06",15254,0.61,115.85
"2020-01-06",69863,0.61,128.05
"2020-01-06",36620,0,
"2020-01-06",95859,0,
"2020-01-06",20256,0,
"2020-01-06",81236,0,
"2020-01-06",77774,0,
"2020-01-06",65131,0,
"2020-01-06",26970,0,
"2020-01-06",56441,0,
"2020-01-06",33185,0.61,12.2
"2020-01-06",99916,23.17,1006.1
"2020-01-06",71217,0,
"2020-01-06",81189,0,
"2020-01-06",11726,0,
"2020-01-06",13496,0,
"2020-01-06",24120,0,
"2020-01-06",66838,0,
"2020-01-06",95731,55.49,5908.54
"2020-01-06",88925,1.22,12.2
"2020-01-06",28504,0,
"2020-01-06",32213,55.49,8225.61
"2020-01-06",65277,0,
"2020-01-06",82296,0,
"2020-01-06",11237,0,
"2020-01-06",48165,0,
"2020-01-06",10533,0,
"2020-01-06",86703,0,
"2020-01-06",77660,0,
"2020-01-06",16353,0,
"2020-01-07",32213,57.93,9670.73
"2020-01-07",96217,0,
"2020-01-07",20256,0,
"2020-01-07",88606,0,
"2020-01-07",90153,0.61,60.98
"2020-01-07",28504,0,
"2020-01-07",69827,0.61,18.29
"2020-01-07",71805,0.61,6.1
"2020-01-07",93742,0,
"2020-01-07",65277,0,
"2020-01-07",24120,0,
"2020-01-07",30851,0.61,6.1
"2020-01-07",72758,0,
"2020-01-07",16353,0,
"2020-01-07",65131,0,
"2020-01-07",99916,23.78,871.95
"2020-01-07",13496,1.22,12.2
"2020-01-07",11206,1.22,18.29
"2020-01-07",25559,0.61,12.2
"2020-01-07",33185,2.44,91.46
"2020-01-07",26488,0,
"2020-01-07",10533,0,
"2020-01-07",37153,23.78,1475.61
"2020-01-07",57084,1.83,54.88
"2020-01-07",26696,0.61,6.1
