"time","lp_id","pct_access","engagement_index"
"2020-01-01",48165,0.01,0.81
"2020-01-01",64947,0.01,1.08
"2020-01-01",64998,0.03,0.4
"2020-01-01",84652,0.01,0.54
"2020-01-01",78818,0.01,0.94
"2020-01-01",32600,0.01,1.89
"2020-01-01",36176,0,
"2020-01-01",67602,0,
"2020-01-01",54430,0.07,4.86
"2020-01-01",57371,0.03,10.12
"2020-01-01",23927,0,
"2020-01-01",13591,0.05,1.21
"2020-01-01",32340,0.03,0.67
"2020-01-01",90153,0.88,63.85
"2020-01-01",39118,0.01,0.13
"2020-01-01",54827,0.08,9.85
"2020-01-01",25793,0.01,0.27
"2020-01-01",45328,0.01,0.13
"2020-01-01",12049,0.01,0.4
"2020-01-01",92871,0.26,29.16
"2020-01-01",99916,0.7,23.35
"2020-01-01",69899,0.01,0.81
"2020-01-01",93742,0.01,0.13
"2020-01-01",99674,0,
"2020-01-01",62538,0,
"2020-01-01",69863,0.09,1.75
"2020-01-01",80560,0.03,13.9
"2020-01-01",46123,0.08,1.62
"2020-01-01",50479,0.05,6.75
"2020-01-01",56198,0,
"2020-01-01",60825,0.04,1.75
"2020-01-01",90440,0.01,0.94
"2020-01-01",29309,0.01,3.1
"2020-01-01",23403,0.01,0.4
"2020-01-01",80414,0,
"2020-01-01",88925,0.08,2.16
"2020-01-01",94158,0.01,0.4
"2020-01-01",98265,0.16,11.2
"2020-01-01",49563,0.01,0.4
"2020-01-01",92867,0.01,1.21
"2020-01-01",13496,0.11,2.97
"2020-01-01",26488,0.43,84.5
"2020-01-01",16401,0,
"2020-01-01",83394,0.01,0.67
"2020-01-01",49062,0.01,0.13
"2020-01-01",85682,0.01,0.13
"2020-01-01",25585,0,
"2020-01-01",16681,0,
"2020-01-01",15254,0.04,20.11
"2020-01-01",32213,1.66,150.51
"2020-01-01",41587,0.01,0.27
"2020-01-01",61474,0.01,2.29
"2020-01-01",52196,0.01,0.27
"2020-01-01",26696,0.03,0.54
"2020-01-01",27070,0.01,0.13
"2020-01-01",30593,0.01,0.27
"2020-01-01",76889,0,
"2020-01-01",29216,0.01,2.83
"2020-01-01",80144,0.07,1.62
"2020-01-01",28504,0.05,3.64
"2020-01-01",37017,0.04,1.08
"2020-01-01",36620,0.11,12.96
"2020-01-01",57084,0.11,6.61
"2020-01-01",33185,0.09,6.48
"2020-01-01",69827,0.58,22.41
"2020-01-01",24711,0.01,0.27
"2020-01-01",56028,0.01,0.4
"2020-01-01",13699,0.04,3.51
"2020-01-01",72758,0.01,2.16
"2020-01-01",78730,0.03,0.27
"2020-01-01",34887,0.12,14.58
"2020-01-01",50724,0.03,0.27
"2020-01-01",79673,0,
"2020-01-01",95731,1.63,235.56
"2020-01-01",25559,0.01,0.13
"2020-01-01",72468,0.01,0.13
"2020-01-01",76649,0,
"2020-01-01",47267,0,
"2020-01-01",37479,0,
"2020-01-01",34675,0.01,2.02
"2020-01-01",29322,0.04,0.94
"2020-01-01",26753,0,
"2020-01-01",35201,0.01,1.62
"2020-01-01",94058,0.05,1.35
"2020-01-01",96885,0.01,1.35
"2020-01-01",56603,0.01,0.13
"2020-01-01",86407,0.03,0.67
"2020-01-01",73101,0.01,1.08
"2020-01-01",50129,0,
"2020-01-01",49751,0.05,1.35
"2020-01-01",86059,0.04,1.08
"2020-01-01",65277,0.01,0.13
"2020-01-01",19181,0.42,80.45
"2020-01-01",65358,0.04,0.4
"2020-01-01",51853,0.01,0.27
"2020-01-01",77713,0.27,47.11
"2020-01-01",16164,0.04,2.43
"2020-01-01",25970,0.05,2.97
"2020-01-01",57724,0.03,1.89
"2020-01-01",35316,0.01,0.4
"2020-01-01",29286,0.01,0.13
"2020-01-01",38876,0.01,6.34
"2020-01-01",13326,0.01,0.27
"2020-01-01",77698,0.04,0.81
"2020-01-01",42410,0.01,2.7
"2020-01-01",40369,0.01,1.21
"2020-01-01",69429,0.04,1.08
"2020-01-01",76122,0.01,0.13
"2020-01-01",78355,0.01,0.81
"2020-01-01",41424,0.22,202.75
"2020-01-01",97280,0.03,1.75
"2020-01-01",29790,0.01,0.27
"2020-01-01",96706,0.11,14.71
"2020-01-01",36692,0.01,0.67
"2020-01-01",61441,0,
"2020-01-01",26512,0.01,0.13
"2020-01-01",16633,0,
"2020-01-01",92918,0.03,0.81
"2020-01-01",33600,0,
"2020-01-01",87342,0.03,0.94
"2020-01-01",42283,0.01,0.13
"2020-01-01",86294,0.01,0.27
"2020-01-01",89802,0.03,0.67
"2020-01-01",47792,0.01,0.13
"2020-01-01",12803,0,
"2020-01-01",42091,0.01,0.13
"2020-01-01",32348,0,
"2020-01-01",43491,0.01,0.13
"2020-01-01",81506,0.01,0.13
"2020-01-01",14124,0.03,0.27
"2020-01-01",21855,0.03,1.75
"2020-01-01",96111,0.01,0.27
"2020-01-01",49687,0.03,0.27
"2020-01-01",89585,0.01,0.13
"2020-01-01",81189,0.12,19.98
"2020-01-01",51340,0.05,1.75
"2020-01-01",98001,0,
"2020-01-01",50114,0.01,0.81
"2020-01-01",30851,0,
"2020-01-01",93802,0.01,0.13
"2020-01-02",69586,0.01,0.13
"2020-01-02",46801,0.03,6.88
"2020-01-02",12049,0.03,0.81
"2020-01-02",67600,0.04,1.48
"2020-01-02",31956,0.01,0.13
"2020-01-02",76649,2.09,96.23
"2020-01-02",89802,0.27,14.31
"2020-01-02",41587,0.05,1.08
"2020-01-02",92290,0.15,16.6
"2020-01-02",91817,0,
"2020-01-02",93802,0.13,6.75
"2020-01-02",87342,0.05,4.86
"2020-01-02",57293,0.07,7.02
"2020-01-02",99916,17.51,624.38
"2020-01-02",26491,0.05,0.67
"2020-01-02",34201,0.01,0.4
"2020-01-02",49751,0.72,38.2
"2020-01-02",82446,0,
"2020-01-02",19184,0.15,8.64
"2020-01-02",45635,0.01,0.13
"2020-01-02",50557,0.01,0.81
"2020-01-02",68490,0.01,0.13
"2020-01-02",65277,0.08,2.16
"2020-01-02",34696,0,
"2020-01-02",97074,0.01,0.13
"2020-01-02",80144,0.3,7.29
"2020-01-02",83076,0.07,1.08
"2020-01-02",24573,0.01,0.67
"2020-01-02",72645,0,
"2020-01-02",72604,0.04,0.4
"2020-01-02",92017,0.01,0.27
"2020-01-02",86060,0.03,0.27
"2020-01-02",11206,0.05,0.94
"2020-01-02",73952,0,
"2020-01-02",25262,0,
"2020-01-02",52196,0.08,2.97
"2020-01-02",13117,0.39,30.37
"2020-01-02",51635,0,
"2020-01-02",71000,0.01,0.27
"2020-01-02",36280,0.05,0.81
"2020-01-02",60825,0.23,5.53
"2020-01-02",23483,0.01,0.13
"2020-01-02",49062,0.03,1.62
"2020-01-02",40508,0,
"2020-01-02",22595,0.01,0.4
"2020-01-02",16401,0.12,5.4
"2020-01-02",86407,0.05,0.67
"2020-01-02",98165,0,
"2020-01-02",96116,0.01,0.54
"2020-01-02",64124,0.01,0.13
"2020-01-02",43491,0.15,27.8
"2020-01-02",54827,0.08,12.69
"2020-01-02",34856,0,
"2020-01-02",81189,0.36,68.03
"2020-01-02",50168,0,
"2020-01-02",11406,0,
"2020-01-02",62806,0,
"2020-01-02",56875,0,
"2020-01-02",34675,0.01,0.54
"2020-01-02",52409,0.01,0.13
"2020-01-02",51340,5.29,110.68
"2020-01-02",77908,0.01,0.13
"2020-01-02",10084,0.01,0.13
"2020-01-02",48165,0.12,4.32
"2020-01-02",54430,0.66,42.25
"2020-01-02",93690,0.01,0.13
"2020-01-02",99066,0,
"2020-01-02",52758,0.04,0.54
"2020-01-02",61384,0.58,79.77
"2020-01-02",37479,0.01,0.13
"2020-01-02",47267,0,
"2020-01-02",71805,0.45,16.06
"2020-01-02",76887,0.01,0.13
"2020-01-02",52448,0.03,0.27
"2020-01-02",68213,0.07,0.94
"2020-01-02",24711,1.75,2292.62
"2020-01-02",13496,2.07,77.07
"2020-01-02",18725,0,
"2020-01-02",92871,3.2,311.51
"2020-01-02",50692,0,
"2020-01-02",12192,0,
"2020-01-02",97988,0.01,0.4
"2020-01-02",33946,0.01,0.13
"2020-01-02",45702,0.01,0.13
"2020-01-02",55355,0,
"2020-01-02",64998,25.98,1151.44
"2020-01-02",86294,0.05,0.94
"2020-01-02",45328,0.03,2.83
"2020-01-02",31218,0,
"2020-01-02",69827,16.44,692.13
"2020-01-02",96217,0,
"2020-01-02",81127,0.01,1.62
"2020-01-02",71932,0.01,0.13
"2020-01-02",29790,0.05,1.35
"2020-01-02",76256,0.01,0.54
"2020-01-02",32654,0.01,0.13
"2020-01-02",94264,0.04,2.97
"2020-01-02",91165,0.54,36.44
"2020-01-02",15254,0.74,141.58
"2020-01-02",16633,0.15,4.05
"2020-01-02",35316,0.01,0.54
"2020-01-02",19334,0.01,0.13
