순번,용어,용어설명
1,전자파 모의생체(電磁波 模擬生體)," 생체의 전기적 성질(전도율, 유전율)과 등가적인 물질로 만들어진 모의 생체."
2,전자파 무반사실(電磁波 無反射室), 내벽의 전자파 반사 특성이 낮은 밀폐실.<br> &#41225; anechoic chamber(room) : 전자파 무반사실<br> An enclosure whose internal walls have low reflection characteristics. IEEE Std 100-1996
3,전자파 잔향실(電磁波 殘響室)," 전자파 잔향실은 전기적으로 대형인 다중모드 케비티로 전자기기의 전자파방출과 전자파내성 측정을 위해 사용되며, 기본적으로 연속적으로 경계조건이 변하며 고 선택도 케비티를 형성하기 위해 내부에 모드 교반기 또는 모드 튜너라고 불리는 금속 주걱형 회전자를 갖는 높은 전도도의 금속 벽으로 구성된 함채이다. 전자파 잔향실 내부의 전자기장은 자유공간을 구성하여 시험하는 기존의 대부분 시험방법과 같은 시불변 전자기장이 아니나, 다음과 같은 특성의 주기성 전자파환경을 제공한다. - 불규칙한 편파, 즉 모든 전자파 사이의 위상이 불규칙하며, - 공간적으로 균일, 즉 챔버 내의 에너지 밀도가 모든 곳에서 균일하며, - 등방적, 즉 모든 방향으로의 에너지 흐름이 동일하다.<br> &#41225; revernerant screened room : 차폐형 잔향실, mode-stirred chamber : 모드 교반 채임버<br> Electromagnetic reverberation chamber is a electrically large overmoded cavity used to measure both electromagnetic emissions and immunity of electronic devices. This is an enclosure consisting of high conductive metal walls with a metallic paddle wheel (denoted a &quot;mode stirrer&quot; or &quot;mode tuner&quot;) essentially forming a high quality factor (Q) cavity with continuously variable boundary conditions. The electromagnetic field inside a reverberation chamber is not time invariant as in most classic test methods utilizing free space set-ups, but provides a periodic electromagnetic environment, which is; - randomly polarized, i.e. the phase between all waves is random, - spatialy uniform, i.e. the energy density in the chamber is uniform everywhere and - isotropic, i.e. the energy flow in all directions is the same."
4,전자파 흡수(電磁波 吸收)," 1. 밀도 ( p )를 갖는 체적 ( dV ) 에 포함된 증분질량 ( dm ) 에 흡수된(소모된) 증분 에너지 ( dW ) 계수는,<br> <IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC194.gif' width=112px height=31px ><br> 전자파 흡수(SA) 는 J/kg 으로 표시된다.<br> 2. 생체조직이 단위 질량 당 흡수하는 에너지로, 단위는 J kg <SUP>-1 </SUP> 이며, SA는 SAR의 시간적분이다.<br> 1. The quotient of the incremental energy ( dW ) absorbed by (dissipated in) an incremental mass ( dm ) contained in a volume ( dV ) of a given density ( p ).<br> <IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC195.gif' width=112px height=31px ><br> Specific absorption is expressed in units of joules per kilogram (J/kg). IEEE Std. C95.1 &amp; IEEE/ANSI C.95.3-1991<br> 2. The energy absorbed per unit mass of biological tissue, expressed in joule per kilogram (J kg-1); specific energy absorption in the time integral of specific energy absorption rate. <br><a href=""javascript:window.open('http://www.nrpb.org.uk/Advice/Glossary/Glossary.htm','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.nrpb.org.uk/Advice/Glossary/Glossary.htm</a>"
5,전자파 흡수율(電磁波 吸收率)," 1. 밀도 ( p )를 갖는 체적 ( dV ) 에 포함된 증분질량 ( dm ) 에 흡수된(소모된) 증분 에너지 ( dW )를 시간 미분하면,<br> <IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC196.gif' width=193px height=31px ><br> 전자파 흡수율(SAR) 은 W/kg 으로 표시된다.<br> 2. 전자기장 내에 있는 생체조직의 단위질량 당 흡수되는 에너지율. 단위는 W/kg 이다.<br> 1. The time derivative of the incremental energy ( dW ) absorbed by (dissipated in) an incremental mass ( dm ) contained in a volume element ( dV ) of given density( p ).<br> <IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC197.gif' width=193px height=31px ><br> SAR is expressed in units of watts per kilogram(W/kg). IEEE Std. C95.1 &amp; IEEE/ANSI C.95.3-1991<br> 2. The rate at which energy is absorbed by unit mass of tissue in an electromagnetic field. Unit watt per kilogram, symbol W kg-1. <br><a href=""javascript:window.open('http://www.nrpb.org.uk/Advice/Glossary/Glossary.htm','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.nrpb.org.uk/Advice/Glossary/Glossary.htm</a>"
6,인가출력,"감독관청에 의해 인가된 발전소 또는 발전기의 출력을 내고, 발전소의 전기발생능력을 kW로 표시한 것."
7,인덕턴스, 시변 전류로 인해 자체회로나 주변회로에 기전력이 발생되도록 하는 전기회로의 성질.<br> The property of an electric circuit by virtue of which a varying current induces an electromotive force in that circuit or in a neighboring circuit. IEEE Std 100-1996
8,인도점,탁송회사가 구입자에게 탁송된 전력을 인도하는 점.
9,인디케이터(고장회로지시기),고장회로 지시기에 있어서 고장전류가 검지된 것을 지기하는 부분.
10,인류철탑,한 방향에서 가해지는 합성된 풍압이나 수직하중에 의해 생기는 전가섭선의 불평균장력에 견딜 수 있도록 설계된 철탑.
11,인산형연료전지,"전해질로 인산(H3PO4)을 사용하는 연료전지이며, 작동온도는 160~250℃ 정도이다. 인산형 연료전지는 95% 이상의 진한 인산을 탄화규소(SiC) 매트릭스에 함침시킨 것을 전해질로 사용하며, 천연가스, 나프타, 액화석탄가스와 같은 화석연료나 메탄올 등의 연료를 개질기를 통하여 수소를 발생시켜 사용할 수 있으며 이에 함유되어 있는 이산화탄소나 미반응 탄화수소도 연료전지의 반응에는 영향을 미치지 않는 장점이 있다. 인산은 가격이 저렴하고 풍부하므로, 1960년대부터 주로 미국에서 개발이 진행되어 실용화된 시스템이며, 가장 먼저 상용화된 연료전지이다."
12,인수점,탁송회사가 탁송의뢰자로부터 전력을 인수받는 점.
13,인입,선로를 외부로부터 국내 또는 옥내로 연결하는 것.
14,인입구,옥외 또는 옥측에서의 전로가 가옥의 외벽을 관통하는 부분을 말한다.
15,인입구장치,"인입구 이후의 전로에 설치하는 전원측으로부터 최초의 개폐기 및 과전류차단기를 합하여 말한다.- 인입구장치로서는 일반적으로 배선용차단기, 퓨즈 를 붙인 나이프스위치 또는 컷아웃스위치가 사용된다. 이들은 단순히 인입개폐기라 부르는 경우가 있다.- 분기회로수가 적을 경우에는 인입구장치의 개 폐기가 주개폐기, 분기개폐기 또는 조작개폐기를 겸하는 것도 있다."
16,인입구장치,인입구 이후에 설치하는 전원측으로부터 최초의 개폐기및 과전류 차단기를 합하여 칭하는 것.
17,인입선,"가공인입선, 지중인입선 및 연접인입선의 총칭을 말한다."
18,인입선,배전선에서 분기되어 수용장소의 인입구에 이르는 사이의 전선. 전압에 따라 고압 인입선 및 저압 인입선이 있다.
19,인입선,"인입에 사용하는 도선. 가입자에 인입하는 경우에는 옥외인입선을 사용하며, 일반적으로 두 줄의 경동선을 고무 또는 PVC 등으로 피복한다."
20,인입선 접속점,"수용장소의 조영물 또는 보조지지물(완금, 애자 부착용금구 등)상의 가공인입선, 연접인입선 또는 지중인입선을 접속하는 전선접속점중 전원에 가장 가까운 곳을 말한다."
21,인입선인덕턴스,인입선이 갖는 아주 작은 인덕턴스.
22,인입식관로,케이블을 보장(保藏)하기 위해 설치하는 관(pipe) 또는 그 집합체. 보통 관로라고 한다.
23,인입전류,계전기에서 접점을 동작시키는데 필요한 여자 코일 전류의 최소값.
24,인입점,공급이용 설비와 구내 배선간의 접속점.
25,인입접지,"서비스 장치나 인입도체, 혹은 둘 다를 접지 접속하는 것. 접지를 참조할 것."
26,인입파이프,"관이나 관로(conduit)의 한 종류.지하 service conductor를 포함하고, 외부 전원선과의 연결점에서 소비자의 구내까지 뻗어 나간 다. Distributor duct, service를 참조할 것."
27,인자,특성값에 영향을 주는 원인 중에서 실험에서 취급된 원인을 말하며 요인이라고도 한다.
28,인자,특성값에 영향을 주는 원인 중에서 실험에서 취급된 원인을 말하며 요인이라고도 한다.An input of interest in an experiment.Input variable being studied in an experiment or ANOVA.
29,인장하중,잔선에 외부로부터 장력을 가하여 점차 증가할 때 전선이 절단되지 않는 최대 장력.
30,인정된 절차서,의도된 목적을 위해 규정요건을 만족한다는 것이 입증된 승인된 절차서 [QAP-1] [KINS-G-002]
31,인정시험,시방서 요건에 적합한 원소재원이나 제조자임을 확인하기 위해 자격인증시 실시하는 시험 [QAP-2]
32,인체(人體)에 대한 전자파 복사위해(電磁波 輻射危害)," 전자파 복사로 인해 인체에 해로운 생물학적인 영향을 끼칠 수 있는 위험성.  <br> Potential for electromagnetic radiation to produce harmful biological effects in human. MIL-STD-463A (4.91), ANSI C63.14-1992"
33,전기안전등급,"비상원자로정지, 격납용기격리, 원자로노심냉각, 격납용기 및 원자로 열제거 또는 주위환경에 심각한 방사능 물질 누출을 방지하는데 필수적인 전기 기기 및 계통의 안전등급 분류 [ENA 9000]-‘전기 1급’으로 표기"
34,전기요금,전기의 사용에 대하여 지불하는 요금.
35,전기요금규정,전기요(금)율과 그 적용에 관한 용어 조건을 설명한 것.
36,전기요금률,공급되는 전기의 양과 이에 대하여 수요자로부터 지불되는 요금의 비율을 나타낸 것.
37,전기요금시각표,전력 공급에서 전기 정격과 그 사용에 중요한 용어와 조건을 표시한 것.
38,전기요금청구서,전기사업자 상호간 또는 전력회사와 수용가 간에서 공급 또는 수전한 전력량을 확인하여 전기요금을 산정하는 것.
39,전기식복귀계전기,"계전기의 한 종류. 한 번 픽업 상태가 되면, 입력 값이 제거된 후에도 픽업 상태를 유지한다. 계전기를 복귀시키기 위해서는 독립적인 전기적 신호 가 필요하다."
40,전기용량(電氣容量),전하를 모을 수 있는 양을 전기용량이라하는데 그 정의는 전위1V를 높이는데 필요한 전하량 즉 이다. 평행판축전기의 전기용량은 (ε
41,전기이중층캐패시터,"기존의 전해커패시터보다 수백 배 이상 우수한 축전 용량을 갖는 커패시터로, 비표면적이 매우 큰 소재 표면에 이온이 물리적으로 흡착 및 탈착하는 현상을 이용하여 에너지를 저장하는 장치로 응답성이 빠르고, 높은 충방전 효율 및 반영구적인 사이클 수명 특성으로 보조배터리나 배터리 대체용으로 사용"
42,전기자동차,배터리와 전기모터의 동력만으로 구동하는 자동차
43,전기장,전기력이 미치는 공간을 말하며 이론상으로 그 공간은 무한하다. 전기장의 세기는 전기장 내에 있는 단위 양전하가 받는 힘의 크기로 정의하므로 이 다. 따라서
44,전기장," 1. 일반적으로, 전기장 세기 또는 전속 밀도의 벡터장(場). 주 : 또한, 이 용어는 그러한 벡터장이 상당한 크기를 갖는 영역을 나타내기 위해서도 사용된다. 2. (전파전파(電波傳播)) (<IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC13D.gif' width=16px height=16px >) 전하의 속도와는 관계없이 단위 전하에 작용하는 전기력.<br> ☞ field : 전자기장, electric field strength : 전기장 세기<br> 1. (general) A vector field of electric field strength or of electric flux density.  Note : The term is also used to denote a region in which such vector fields have a significant magnitude. 2. (radio-wave propagation) (<IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC13E.gif' width=16px height=16px >) The electric force that acts on a unit electric charge independently of the velocity of that charge. IEEE Std. 100-1996"
45,전기장 균일도(電氣場 均一度), 복사 내성 시험을 할 때 인가되는 전기장이 피시험에 어느 정도 균일하게 분포하는가를 평가하는 기준. IEC 61000-4-3 규격에는 0.8 m 높이의 1.5 m × 1.5 m 평면에서 0.5 m 간격으로 측정하는 16개 측정점 중에서 75 % 내의 범위(12개 지점 이상)에서 측정한 전기장이 0～6 dB의 범위 내에 있을 때 인가되는 전기장이 균일하다고 판단한다.
