"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,위도,경도,데이터기준일자
"경기도 수원시",경기도 수원시 영통구 중부대로246번길 20,,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2741027,127.0420285,2021-02-08
"경기도 수원시",경기도 수원시 영통구 중부대로256번길 14,,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2739851,127.0433588,2021-02-08
"경기도 수원시",경기도 수원시 영통구 산남로 101-2,,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2720185,127.0498069,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매여울로 11,,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2702622,127.0479455,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매영로56번길 15-6,,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2681268,127.0479217,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매원로 10,,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2664602,127.0471428,2021-02-08
"경기도 수원시",경기도 수원시 영통구 산남로 16-3,경기도 수원시 영통구 매탄동 834-48,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2645678,127.0478294,2021-02-08
"경기도 수원시",경기도 수원시 영통구 인계로264번길 21,,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2627934,127.0459682,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매탄로140번길 68-3,,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2621801,127.0476927,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 권광로 184,경기도 수원시 팔달구 인계동 1120,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2637705,127.0333088,2021-02-08
"경기도 수원시",경기도 수원시 장안구 수성로290번길 30,경기도 수원시 장안구 영화동 404-30,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2895167,127.0047878,2021-02-08
"경기도 수원시",경기도 수원시 장안구 수성로328번길 38,경기도 수원시 장안구 영화동 410-11,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2905708,127.0089717,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 권광로364번길 45,,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2782122,127.0396627,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 경수대로642번길 49,,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2841792,127.0313887,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 경수대로718번길 27,,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2902623,127.0263388,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 세지로314번길 33,경기도 수원시 팔달구 지동 106-4,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2788734,127.0256925,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 팔달문로115번길 42,경기도 수원시 팔달구 지동 477-11,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2834862,127.0279154,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 동말로26번길 5,,생활방범,6,200,360도전방면,30,2016-12,031-228-3308,37.277596,126.997481,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 동말로25번길 71,,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2805693,126.9951692,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 동말로77번길 62,,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2814886,127.0028143,2021-02-08
"경기도 수원시",,경기도 수원시 영통구 매탄동 282-6,재난재해,1,130,360도전방면,30,2013-01,031-228-3308,37.266826,127.0559141,2021-02-08
"경기도 수원시",,경기도 수원시 영통구 매탄동 247-2,재난재해,1,130,360도전방면,30,2013-01,031-228-3308,37.2632963,127.0503877,2021-02-08
"경기도 수원시",,경기도 수원시 영통구 신동 644-15,재난재해,1,130,360도전방면,30,2013-01,031-228-3308,37.2507119,127.042332,2021-02-08
"경기도 수원시",경기도 수원시 권선구 덕영대로1368번길 214,경기도 수원시 권선구 곡반정동 460-22,재난재해,1,130,360도전방면,30,2013-01,031-228-3308,37.2374955,127.036803,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 대황교동 73-2,재난재해,1,200,360도전방면,30,2013-01,031-228-3308,37.2272988,127.0238629,2021-02-08
"경기도 수원시",,경기도 수원시 장안구 하광교동 산68-1,재난재해,1,200,360도전방면,30,2013-01,031-228-3308,37.3024797,127.0284743,2021-02-08
"경기도 수원시",,경기도 수원시 팔달구 매교동 113-35,재난재해,1,200,360도전방면,30,2017-06,031-228-3308,37.2657651,127.0140541,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 세류동 545-7,재난재해,1,200,360도전방면,30,2017-06,031-228-3308,37.2533493,127.009645,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 권선동 1367-4,재난재해,1,130,360도전방면,30,2014-04,031-228-3308,37.2430494,127.0201931,2021-02-08
"경기도 수원시",경기도 수원시 장안구 장안로151번길 38,경기도 수원시 장안구 정자동 23-14,재난재해,1,130,360도전방면,30,2015-06,031-228-3308,37.296013,126.9964534,2021-02-08
"경기도 수원시",,경기도 수원시 장안구 천천동 584,재난재해,1,130,360도전방면,30,2015-06,031-228-3308,37.3048954,126.9821502,2021-02-08
"경기도 수원시",경기도 수원시 장안구 천천로74번길 50,,재난재해,1,130,360도전방면,30,2013-01,031-228-3308,37.2924262,126.988424,2021-02-08
"경기도 수원시",,경기도 수원시 팔달구 화서동 407,재난재해,1,130,360도전방면,30,2015-06,031-228-3308,37.2831002,126.9855052,2021-02-08
"경기도 수원시",경기도 수원시 권선구 동수원로146번길 57,경기도 수원시 권선구 곡반정동 504-9,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2451015,127.0320052,2021-02-08
"경기도 수원시",경기도 수원시 권선구 동수원로146번길 115-1,경기도 수원시 권선구 곡반정동 511-2,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2454341,127.0348117,2021-02-08
"경기도 수원시",경기도 수원시 권선구 곡반정로 61,경기도 수원시 권선구 곡반정동 596-2,생활방범,6,200,360도전방면,30,2016-12,031-228-3308,37.2342178,127.0284174,2021-02-08
"경기도 수원시",경기도 수원시 장안구 화산로203번길 9-1,경기도 수원시 장안구 율전동 265-24,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.298929,126.9743695,2021-02-08
