"time","lp_id","pct_access","engagement_index"
"2020-01-01",16406,0.01,1.29
"2020-01-01",92993,0.01,1.59
"2020-01-01",71370,0.01,0.06
"2020-01-01",43491,0.01,0.37
"2020-01-01",28504,0.02,1.16
"2020-01-01",51340,0.01,0.12
"2020-01-01",50479,0.01,3.06
"2020-01-01",86059,0.01,0.12
"2020-01-01",47364,0.1,14.69
"2020-01-01",10533,0.02,0.31
"2020-01-01",65358,0.01,0.12
"2020-01-01",50168,0.01,0.06
"2020-01-01",93690,0.01,0.43
"2020-01-01",97594,0.01,2.27
"2020-01-01",24711,0.01,26.08
"2020-01-01",60286,0.01,3.24
"2020-01-01",15225,0.01,0.55
"2020-01-01",98402,0.01,0.06
"2020-01-01",26488,0.07,4.22
"2020-01-01",29216,0.01,0.18
"2020-01-01",64948,0.01,0.24
"2020-01-01",32213,0.01,0.12
"2020-01-01",26491,0.01,0.06
"2020-01-01",91397,0.01,0.12
"2020-01-01",36620,0.01,2.75
"2020-01-01",80144,0.01,0.06
"2020-01-01",11635,0.01,0.12
"2020-01-01",58351,0.02,0.98
"2020-01-01",90153,0.04,5.02
"2020-01-01",95731,0.18,20.63
"2020-01-01",17920,0.01,0.18
"2020-01-01",69827,0.04,0.73
"2020-01-01",57084,0.08,9.24
"2020-01-01",99916,0.1,2.82
"2020-01-01",70167,0.01,0.06
"2020-01-01",26512,0.01,0.24
"2020-01-01",10745,0.01,0.18
"2020-01-01",13496,0.02,0.31
"2020-01-01",15254,0.02,7.77
"2020-01-01",64636,0.01,0.24
"2020-01-01",62934,0.01,0.18
"2020-01-01",25793,0.01,0.06
"2020-01-01",11585,0.02,2.63
"2020-01-01",69863,0.01,0.06
"2020-01-01",69429,0.01,0.06
"2020-01-01",40159,0.01,0.67
"2020-01-01",45811,0.01,0.12
"2020-01-01",37017,0.01,0.06
"2020-01-02",14075,0.06,1.53
"2020-01-02",92867,0.07,4.04
"2020-01-02",13496,0.45,24.24
"2020-01-02",25559,0.01,0.24
"2020-01-02",10650,0.01,0.06
"2020-01-02",12221,0.01,0.24
"2020-01-02",11206,0.03,0.55
"2020-01-02",60051,0.02,1.1
"2020-01-02",10533,3.81,129.42
"2020-01-02",79673,0.01,0.31
"2020-01-02",94954,0.06,0.67
"2020-01-02",24120,0.76,42.61
"2020-01-02",45716,0.01,0.06
"2020-01-02",81506,0.01,0.06
"2020-01-02",26512,0.01,0.06
"2020-01-02",64838,0.05,1.22
"2020-01-02",47214,0.04,0.49
"2020-01-02",11406,0.01,0.06
"2020-01-02",72758,0.1,11.75
"2020-01-02",32348,0.44,29.26
"2020-01-02",54827,0.02,2.57
"2020-01-02",12803,0.08,11.63
"2020-01-02",11635,0.01,0.43
"2020-01-02",64636,4.12,309.34
"2020-01-02",47364,10.71,2241.69
"2020-01-02",78798,0.01,0.06
"2020-01-02",41380,0.88,260.97
"2020-01-02",88885,0.02,0.37
"2020-01-02",68192,0.01,0.37
"2020-01-02",51340,0.41,18.67
"2020-01-02",86407,0.01,0.06
"2020-01-02",30593,0.32,49.28
"2020-01-02",42784,0.01,0.18
"2020-01-02",28199,0.01,0.24
"2020-01-02",34778,0.37,5.08
"2020-01-02",57084,2.12,96.91
"2020-01-02",61384,1.03,166.76
"2020-01-02",44820,0.01,0.12
"2020-01-02",26372,0.02,1.35
"2020-01-02",45005,0.01,0.24
"2020-01-02",94609,0.02,0.31
"2020-01-02",52822,0.01,0.18
"2020-01-02",98402,1.46,92.56
"2020-01-02",86294,0.39,93.3
"2020-01-02",69429,0.03,0.92
"2020-01-02",16633,0.02,0.43
"2020-01-02",88925,0.32,5.02
"2020-01-02",73104,0.14,22.47
"2020-01-02",63801,0.16,5.63
"2020-01-02",49785,0.01,0.06
"2020-01-02",55920,0.02,0.24
"2020-01-02",10745,0.02,0.18
"2020-01-02",78818,0.01,0.24
"2020-01-02",71805,0.02,0.24
"2020-01-02",13117,0.09,4.47
"2020-01-02",92844,0.41,22.96
"2020-01-02",46752,0.01,0.12
"2020-01-02",77713,0.01,0.43
"2020-01-02",13699,0.31,9.37
"2020-01-02",51853,0.09,0.98
"2020-01-02",29322,0.25,30.43
