"what does earth exerts?,1,,"
"what is the unit of the force?,,,"
"what is a prism,,,"
"what is a complete spectrum,,,"
"New materials are  formed  during _____________ change.,,,"
"which planet is extinct from our solar system?,,,"
"what are disadvantigies of sound,,,"
"what are the transfers of heat,,,"
"What is a sieve?,1,,"
"how many types of weather is there,1,,"
"How many years does Neptune take to revolve around the sun,,,"
"explain what a sieve is,,,"
"What does mythological means?,,,"
"Why is it difficult to move an oar through the water when we row a boat?,,,"
"How many planets are there in our solar system?,4,,"
"What is a gravitational force?,,,"
"What is a Chemical change?,,,"
"Soil erosion depends on various factors such as :,,,"
"What is Frictional force?,5,,"
"why the recycling bin are in the society?,2,,"
"how much days sun take to revolve around mars?,2,,"
"As the moon revolves around the earth its_______________force pull the earth towards it,,,"
"the soil may lose its _____________due to _________.,,,"
"what is physical change ?,5,,"
"what is chemical change,2,,"
"What are some output planets?,2,,"
"how many distinguesht colours are there in a rainbow,,,"
"what is air?,3,,"
"gravitational force pulls a person______________________________,,,"
"a chemical change  is  one that involves a chemical ______________.,3,,"
"what is sun?,,,"
"Aerosols are labelled with the warning sign for _______________ materials .,1,,"
"what is the output device of an electrical circuit?,,,"
"the function of choke in tube light is?,,,"
"what is the energy conversion of CAR,,,"
"Which forces can act at a distance ?,,,"
"what is refraction,,,"
"How changes in state occurs,,,"
"What energy conversion occurs during burning a candle?,1,,"
"how can we prevent soil erosion?,5,,"
"WHAT IS REDIATION,5,,"
"How does heat travel,5,,"
"Who was the winner of 2016 royal rumbal,,,"
"how many cities are in China?,5,,"
"How many colours do rainbow have?,,,"
"From given examples which is physical change?,,,"
"How does rust form?,,,"
"The change in the__________ of a substance is also a physical change?,,,"
"How doplets release water vapour into the air?,,,"
"What is condensation?,,,"
"What can I do to save water?,4,,"
"How can we best recycle water?,3.2,,"
"How can we get rid of litter in the ocean?,3.67,,"
"How can we save trees?Emily and Deeksha.,3.13,,"
"How can we save the trees in the environment?,3.09,,"
"How can we protect animals that live in/on trees?,4,,"
"How can we save eletricity when we're not using it..........?,3.09,,"
"How can we save electricity?,3.22,,"
"What are some ways to save paper? ,3.7,,"
"How do we save trees?,3.92,,"
"Why do you think states like Seattle and Washington encourage recycling a lot.,,,"
"In Seattle, Washington the government taxes people on how much trash they make. Could this be  a scam to earn money? Why?,,,"
"Why do schools teach children, &quot; reuse,reduce, recycle&quot;, when recycling is so expensive?,3.33,,"
"Why do you think schools encourage reduce, reuse, and recycle.,2.5,,"
"How come recycle has a big cost?,2.5,,"
"Why do some recycling trucks just dump garbage at the dump? Why do some trucks pretend?,,,"
"Why do you think recycling is expensive to do?,3,,"
"Why do you think recycling trucks just dump it in the landfill, and pretend?,,,"
"Are you actually willing to pay someone to sort your trash and why?,,,"
"If recycling is so expensive, why do people recycle?,4,,"
"why do you think people are still recycling most of there stuff that they do not use?,,,"
"Why do many people not know that recycling is so expensive?,,,"
"If recycling is so expensive why does the government encourage people to recycle although it does not save money.,,,"
"Based on the article, do you believe recycling is worth the financial cost?,,,"
"Why is recycling old paper more expensive than new paper?,4,,"
"Why do schools teach the students to recycle if others are trying to stop it?,,,"
"What is the use of recycling if people do not use the recycled material to create more things? Why do the people think building out of scratch is cheap?,,,"
"Recycling is expensive, yet saving the environment is more important. Just to save money, would you let water levels rise and animals in the Arctic and the Antarctic die of because of loss of habitat. Do you think it is right for us to stop recycling? ,,,"
"If the everyone pretends that recycling is better than it really is, then why doesn't the E.P.A. stop it? The E.P.A.'s job is the protect the environment. ,,,"
"Should the cities or the states be paying for the recycling programs? Why?,,,"
"While everybody is pretending recycling is good,the E.P.A is pretty much just standing there.Is it possible that they have signed a contact for money to be quiet about this,,,"
"Why are recycling collectors  have a contact with the government and are pretending to recycle. In my opinion this would be fooling the people and not saving the Earth.,,,"
"How are the Sun, the Earth, and the moon similar?,4.5,,"
"How much years does it take for Neptune to orbit around the Sun???,3,,"
"How manny planets are there?,1,,"
"Where would you most likely find a telescope???????,3,,"
"How much years does Uranus need to orbit around the Sun???,2,,"
"If you look though the telescope?,2,,"
"What two planets are split from the asteroid belt?,2,,"
"what if the Earth fell on the sun?,1.5,,"
"How are Earth,Sun, and Moon similar?,2,,"
"What`s the satllight for the Earth?,1,,"
"What if the Earth went too close to the sun....?????,2,,"
"What if the Earth was the 5th plant from the sun how would life be on Earth? ,1.33,,"
"What if the moon disepeared???????????,1,,"
"What if there were no earth what will happen? ,3.25,,"
"How are the Sun and Earth simaler.,3.2,,"
"What if the Earth didn't have atmossfeer what would hapen?,3.29,,"
"Why can you see the moon in the day???????,1.8,,"
"what if  the moon fell on Earth?,1.83,,"
"What if there were no moon ?,1.6,,"
"What if the Sun fell into the Earth???W,2.13,,"
"What if we did not have a sun or a moon what would happen????,1.5,,"
"Why is the sun made of gas??,1.4,,"
"How did the Woodman Lose his axe?,1,,"
"What was the second axe that mercury retrieved made of?,,,"
"Why do you think Mercury helps the Woodman?,,,"
"Mercury decides to help the woodman because:,3,,"
