"what does earth exerts?,1,,",Level3
"what is the unit of the force?,,,",Level2
"what is a prism,,,",Level1
"what is a complete spectrum,,,",Level1
"New materials are  formed  during _____________ change.,,,",Level2
"which planet is extinct from our solar system?,,,",Level1
"what are disadvantigies of sound,,,",Level2
"what are the transfers of heat,,,",Level2
"What is a sieve?,1,,",Level1
"how many types of weather is there,1,,",Level2
"How many years does Neptune take to revolve around the sun,,,",Level2
"explain what a sieve is,,,",Level3
"What does mythological means?,,,",Level3
"Why is it difficult to move an oar through the water when we row a boat?,,,",Level4
"How many planets are there in our solar system?,4,,",Level2
"What is a gravitational force?,,,",Level1
"What is a Chemical change?,,,",Level2
"Soil erosion depends on various factors such as :,,,",Level3
"What is Frictional force?,5,,",Level1
"why the recycling bin are in the society?,2,,",Level4
"how much days sun take to revolve around mars?,2,,",Level2
"As the moon revolves around the earth its_______________force pull the earth towards it,,,",Level3
"the soil may lose its _____________due to _________.,,,",Level2
"what is physical change ?,5,,",Level3
"what is chemical change,2,,",Level3
"What are some output planets?,2,,",Level2
"how many distinguesht colours are there in a rainbow,,,",Level2
"what is air?,3,,",Level1
"gravitational force pulls a person______________________________,,,",Level3
"a chemical change  is  one that involves a chemical ______________.,3,,",Level3
"what is sun?,,,",Level1
"Aerosols are labelled with the warning sign for _______________ materials .,1,,",Level2
"what is the output device of an electrical circuit?,,,",Level1
"the function of choke in tube light is?,,,",Level1
"what is the energy conversion of CAR,,,",Level1
"Which forces can act at a distance ?,,,",Level2
"what is refraction,,,",Level1
"How changes in state occurs,,,",Level3
"What energy conversion occurs during burning a candle?,1,,",Level3
"how can we prevent soil erosion?,5,,",Level2
"WHAT IS REDIATION,5,,",Level1
"How does heat travel,5,,",Level3
"Who was the winner of 2016 royal rumbal,,,",Level2
"how many cities are in China?,5,,",Level2
"How many colours do rainbow have?,,,",Level2
"From given examples which is physical change?,,,",Level1
"How does rust form?,,,",Level3
"The change in the__________ of a substance is also a physical change?,,,",Level2
"How doplets release water vapour into the air?,,,",Level3
"What is condensation?,,,",Level1
"What can I do to save water?,4,,",Level2
"How can we best recycle water?,3.2,,",Level2
"How can we get rid of litter in the ocean?,3.67,,",Level2
"How can we save trees?Emily and Deeksha.,3.13,,",Level2
"How can we save the trees in the environment?,3.09,,",Level2
"How can we protect animals that live in/on trees?,4,,",Level2
"How can we save eletricity when we're not using it..........?,3.09,,",Level2
"How can we save electricity?,3.22,,",Level2
"What are some ways to save paper? ,3.7,,",Level2
"How do we save trees?,3.92,,",Level3
