x,y
1,so when you're learning you know the
2,0:02
3,basics of algorithmic
4,0:04
5,models now you'll have to confront
6,0:06
7,questions of algorithmic bias
8,0:08
9,and fairness it won't be if you're
10,0:10
11,interested in that go
12,0:11
13,take the class in the philosophy
14,0:12
15,department it will be built into the
16,0:14
17,core classes in cs
18,0:33
19,[Music]
20,0:39
21,i think we're already witnessing some of
22,0:41
23,the uh the harm
24,0:42
25,and damage being made by the adoption of
26,0:45
27,algorithms and ai
28,0:47
29,in like the biases that exist
30,0:50
31,in some of the tools and the spread of
32,0:52
33,discrimination and
34,0:54
35,distrust in the media and all of that to
36,0:57
37,deal with that
38,0:58
39,potential threat and harm like who do
40,1:00
41,you think
42,1:01
43,is most important to be educated and
44,1:03
45,like will
46,1:04
47,informed consumers be most critical
48,1:07
49,or informed developers or inform the
50,1:10
51,government
52,1:13
53,[Music]
54,1:17
55,well i think all of the above is
56,1:19
57,important and
58,1:20
59,at the end of the day i wouldn't leave
60,1:23
61,this just to consumers however
62,1:25
63,because that's a kind of one by one
64,1:28
65,approach
66,1:29
67,that doesn't leave possible a kind of
68,1:31
69,broader or collective strategy
70,1:34
71,so you know some people say they're so
72,1:36
73,fed up with facebook
74,1:38
75,that the only responsible thing to do is
76,1:40
77,to delete facebook from your phone
78,1:42
79,or your smartphone is so filled with
80,1:45
81,notification devices and various ways to
82,1:47
83,hack your attention
84,1:49
85,that you should you know like turn the
86,1:50
87,color off and make it grayscale
88,1:52
89,and like that's the power of a consumer
90,1:54
91,if that's the sum
92,1:56
93,total of our kind of possible actions
94,1:59
95,that i think human beings are going to
96,2:01
97,lose out in the end
98,2:02
99,i'll give you just one example in the
100,2:04
101,space of say you know content moderation
102,2:06
103,or content regulation
104,2:07
105,what i have in mind so in the united
106,2:10
107,states
108,2:10
109,when you used to be able to go to a
110,2:12
111,movie theater
112,2:13
113,the movies are all rated you know g or
114,2:16
115,pg or r
116,2:18
117,or no content that is not a law that was
118,2:21
119,passed by
120,2:22
121,the us government it's a voluntary
122,2:24
123,industry collaboration
124,2:27
125,to self-regulate and to give information
126,2:29
127,to consumers so they can make informed
128,2:31
129,decisions about whether or not they wish
130,2:33
131,to
132,2:34
133,allow their children to see a movie or
134,2:36
135,if it's rated r there's an age cut off
136,2:38
137,that's an example that sits above the
138,2:40
139,consumer and is below the government
140,2:42
141,so that's i want to emphasize our
142,2:44
143,choices are not just
144,2:45
145,let the individual user decide or let
146,2:47
147,government regulate
148,2:48
149,we have lots of other options in between
150,2:55
151,[Music]
152,2:56
153,one of the great things about being a
154,2:58
155,university is that we get to teach
156,3:01
157,19 20 21 year old kids and
158,3:05
159,these are the kids that are going to end
160,3:06
161,up in 10 years in positions of
162,3:08
163,leadership and responsibility
164,3:10
165,so we can think actually about how do we
166,3:13
167,want to educate
168,3:14
169,people for the next 10 years so that 30
170,3:16
171,years from now
172,3:17
173,the world looks like a different place i
174,3:19
175,mean i think it's a great transition to
176,3:21
177,your ethics curriculum that you're
178,3:23
179,supporting campus
180,3:24
181,hey can you tell us about the new
182,3:27
183,curriculum how you're adopting it and
184,3:29
185,is there any early wins that you have
186,3:31
187,witnessed
