"time","lp_id","pct_access","engagement_index"
"2020-01-01",83076,0.07,0.71
"2020-01-01",80431,0.07,4.95
"2020-01-01",96706,0.07,0.71
"2020-01-01",78818,0.28,17.69
"2020-01-01",88885,0.07,0.71
"2020-01-01",26533,0.07,4.95
"2020-01-01",72758,0.07,3.54
"2020-01-01",81189,0.07,10.62
"2020-01-01",80493,0.07,12.03
"2020-01-01",29322,0.14,1.42
"2020-01-01",61441,0.07,2.12
"2020-01-01",95253,0.21,116.77
"2020-01-01",87342,0.21,11.32
"2020-01-01",60051,1.34,210.19
"2020-01-01",47364,3.68,586.69
"2020-01-01",49062,0.07,0.71
"2020-01-01",86059,0.14,16.28
"2020-01-01",57724,0.07,4.25
"2020-01-01",14168,0.07,0.71
"2020-01-01",79565,0.07,0.71
"2020-01-01",64947,0.35,52.37
"2020-01-01",93690,0.07,0.71
"2020-01-01",26488,1.13,193.21
"2020-01-01",90929,0.07,0.71
"2020-01-01",16164,0.14,4.25
"2020-01-01",41424,0.07,3.54
"2020-01-01",95731,3.61,414.72
"2020-01-01",11286,0.07,0.71
"2020-01-01",99916,0.99,24.77
"2020-01-01",77430,0.07,0.71
"2020-01-01",19101,0.07,1.42
"2020-01-01",78063,2.55,99.08
"2020-01-01",10533,0.07,14.15
"2020-01-01",50580,0.57,20.52
"2020-01-01",76889,0.07,1.42
"2020-01-01",33185,0.64,12.74
"2020-01-01",53775,0.07,0.71
"2020-01-01",98265,0.92,285.92
"2020-01-01",49570,0.07,0.71
"2020-01-01",76649,0.14,1.42
"2020-01-01",35201,0.07,2.12
"2020-01-01",13496,0.21,5.66
"2020-01-01",23483,0.21,14.86
"2020-01-01",31956,0.07,19.11
"2020-01-01",50104,0.07,1.42
"2020-01-01",28504,0.21,5.66
"2020-01-01",72784,0.07,0.71
"2020-01-02",15225,0.14,1.42
"2020-01-02",61281,0.07,3.54
"2020-01-02",46123,0.07,2.12
"2020-01-02",69429,0.07,0.71
"2020-01-02",10533,4.67,370.13
"2020-01-02",57293,0.14,2.83
"2020-01-02",42051,0,
"2020-01-02",36692,1.27,146.5
"2020-01-02",85072,0.07,0.71
"2020-01-02",46801,0.07,2.83
"2020-01-02",84652,0.07,1.42
