"time","lp_id","pct_access","engagement_index"
"2020-01-01",95859,0,
"2020-01-01",59304,0,
"2020-01-01",13496,0,
"2020-01-01",28504,0,
"2020-01-01",92871,0.1,3.2
"2020-01-01",20069,0,
"2020-01-01",36620,0,
"2020-01-01",78730,0,
"2020-01-01",57293,0,
"2020-01-01",32213,0.06,0.8
"2020-01-01",12463,0.02,0.6
"2020-01-01",95731,0.06,2.2
"2020-01-01",25559,0,
"2020-01-01",72468,0.02,0.2
"2020-01-01",76649,0.1,2.8
"2020-01-01",48165,0.02,0.4
"2020-01-01",99916,0,
"2020-01-01",49560,0,
"2020-01-01",66025,0.02,1.6
"2020-01-01",31827,0.02,0.2
"2020-01-01",90153,0,
"2020-01-01",76122,0,
"2020-01-01",69863,0.02,0.4
"2020-01-01",20679,0,
"2020-01-01",57084,0.02,0.4
"2020-01-01",16633,0,
"2020-01-01",64948,0.02,0.2
"2020-01-01",13699,0,
"2020-01-01",66838,0,
"2020-01-01",26488,0,
"2020-01-01",65277,0,
"2020-01-02",99916,0,
"2020-01-02",47364,0,
"2020-01-02",57084,0.02,0.4
"2020-01-02",85256,0,
"2020-01-02",69429,0,
"2020-01-02",24342,0,
"2020-01-02",95859,0,
"2020-01-02",83394,0,
"2020-01-02",64948,0.02,0.2
"2020-01-02",20679,0,
"2020-01-02",16633,0,
"2020-01-02",45007,0,
"2020-01-02",69827,0.02,0.2
"2020-01-02",29322,0.02,7.2
"2020-01-02",55032,0,
"2020-01-02",80616,0.02,2
"2020-01-02",28504,0,
"2020-01-02",41587,0,
"2020-01-02",94058,0,
"2020-01-02",93684,0.02,0.6
"2020-01-02",33185,0,
"2020-01-02",17398,0,
"2020-01-02",95990,0,
"2020-01-02",64915,0,
"2020-01-02",76649,0.1,2.8
"2020-01-02",52196,0,
"2020-01-02",19493,0,
"2020-01-02",26488,0,
"2020-01-02",16164,0,
"2020-01-02",65277,0,
"2020-01-02",32213,0.08,4
"2020-01-02",67035,0,
"2020-01-02",75930,0,
"2020-01-02",94824,0,
"2020-01-02",20069,0,
"2020-01-02",99674,0,
"2020-01-02",13496,0,
"2020-01-02",94158,0,
"2020-01-02",48999,0,
